id,hof_its,surname,is_manual
2b6fe539-4942-4eda-92f1-03972ba4ab04,10000001,Saifee,false
4de6b075-4116-44c5-9423-b154fd32f68b,10000002,Najmi,false
14d09f10-dff6-4b7a-b967-4777bdd39121,10000003,Hakim,false
91c041e0-f256-4001-8565-bb6576bc035f,10000004,Lokhandwala,false
529f6d51-5e3c-4914-9b86-303e037d276b,10000005,Kapadia,false
8fc1e1b4-09d3-40f2-9e13-ce9850c9819a,10000006,Poonawala,false
fc2f4414-5f0d-41e4-a0ce-57c1ee219a5f,10000007,Merchant,false
01dcd538-a502-41cd-be04-87a1ced88474,10000008,Ezzi,false
cc0eeafe-6952-4198-87d8-09d2f714c487,10000009,Saifee,false
f5570d4b-7ef6-4bf5-a89a-386f9f196ebd,10000010,Najmi,false
fbf35e2d-feda-45ca-9fa1-78319f414fcf,10000011,Hakim,false
480d2822-41e2-47dc-889e-f1f2c3bb5b4b,10000012,Lokhandwala,false
20ccdc45-a117-4546-b112-77ff0887a1f7,10000013,Kapadia,false
a1897300-37d6-4805-94d7-683da374f5e7,10000014,Poonawala,false
817e431e-5c91-4834-84fc-c52cea233389,10000015,Merchant,false
89f0040a-7b82-42af-a85e-f42c802b9f76,10000016,Ezzi,false
434f02ba-d51f-4774-a686-b055ed6a11d8,10000017,Saifee,false
9d2b70dc-a8c1-4093-bc69-73282b44aad0,10000018,Najmi,false
d6551861-50e2-4c84-bcb1-946f69613dd0,10000019,Hakim,false
223a5e3b-bb56-4878-9573-6c34cd7f2444,10000020,Lokhandwala,false
